ID    ReferenceType ReferenceID
Ginkgoites_insperata	NomRef	Ginkgoites_insperata-ref
Ginkgoites_ipsviciensis	NomRef	Ginkgoites_ipsviciensis-ref
Ginkgoites_jampolensis	NomRef	Ginkgoites_jampolensis-ref
Ginkgoites_kazachstanicus	NomRef	Ginkgoites_kazachstanicus-ref
Ginkgoites_khorassanicus	NomRef	Ginkgoites_khorassanicus-ref
Ginkgoites_koraiensis	NomRef	Ginkgoites_koraiensis-ref
Ginkgoites_krassilovii	NomRef	Ginkgoites_krassilovii-ref
Ginkgoites_lodevensis	NomRef	Ginkgoites_lodevensis-ref
Ginkgoites_longilobatus	NomRef	Ginkgoites_longilobatus-ref
Ginkgoites_longipilosus	NomRef	Ginkgoites_longipilosus -ref
Ginkgoites_lunzensis	NomRef	Ginkgoites_lunzensis-ref
Ginkgoites_magnifolia	NomRef	Ginkgoites_magnifolia-ref
Ginkgoites_martenensis	NomRef	Ginkgoites_martenensis-ref
Ginkgoites_microphyllus	NomRef	Ginkgoites_microphyllus-ref
Ginkgoites_milfordensis	NomRef	Ginkgoites_milfordensis-ref
Ginkgoites_mongolensis	NomRef	Ginkgoites_mongolensis-ref
Ginkgoites_myrioneurus	NomRef	Ginkgoites_myrioneurus-ref
Ginkgoites_occidentalis	NomRef	Ginkgoites_occidentalis-ref
Ginkgoites_orientalis	NomRef	Ginkgoites_orientalis-ref
Ginkgoites_papilionaceus	NomRef	Ginkgoites_papilionaceus-ref
Ginkgoites_patagonica	NomRef	Ginkgoites_patagonica-ref
Ginkgoites_permjakensis	NomRef	Ginkgoites_permjakensis-ref
Ginkgoites_pluripartitus	NomRef	Ginkgoites_pluripartitus-ref
Ginkgoites_polaris	NomRef	Ginkgoites_polaris-ref
Ginkgoites_pseudoadiantoides	NomRef	Ginkgoites_pseudoadiantoides-ref
Ginkgoites_quadrilobus	NomRef	Ginkgoites_quadrilobus-ref
Ginkgoites_rotundus	NomRef	Ginkgoites_rotundus-ref
Ginkgoites_scarburgensis	NomRef	Ginkgoites_scarburgensis-ref
Ginkgoites_sectoralis	NomRef	Ginkgoites_sectoralis-ref
Ginkgoites_simmondsii	NomRef	Ginkgoites_simmondsii-ref
Ginkgoites_sphenophyllus	NomRef	Ginkgoites_sphenophyllus -ref
Ginkgoites_taeniatus	NomRef	Ginkgoites_taeniatus-ref
Ginkgoites_tasiakouensis	NomRef	Ginkgoites_tasiakouensis-ref
Ginkgoites_ticoensis	NomRef	Ginkgoites_ticoensis-ref
Ginkgoites_tigrensis	NomRef	Ginkgoites_tigrensis-ref
Ginkgoites_tylensis	NomRef	Ginkgoites_tylensis-ref
Ginkgoites_veekaysinghii	NomRef	Ginkgoites_veekaysinghii-ref
Ginkgoites_watsoniae	NomRef	Ginkgoites_watsoniae-ref
Ginkgoites_wulungensis	NomRef	Ginkgoites_wulungensis-ref
Ginkgoites_xinhuaensis	NomRef	Ginkgoites_xinhuaensis-ref
Ginkgoites_yangii	NomRef	Ginkgoites_yangii-ref
Ginkgoxylon_amurense	NomRef	Ginkgoxylon_amurense-ref
Ginkgoxylon_asiae-mediae	NomRef	Ginkgoxylon_asiae-mediae-ref
Ginkgoxylon_beckii	NomRef	Ginkgoxylon_beckii-ref
