AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus
Ginkgoites_patagonica	La Huitrera Formation, Río Negro Province, Rio Pichileufú, Argentina	Text	
Ginkgoites_permjakensis	Bungarapskaya sinklinal', Bojaryshynovo village, Russia	Text	
Ginkgoites_pluripartitus	Osterwald, Hanover, Germany	Text	
Ginkgoites_polaris	Came Flora, Franz Josef Land, Russia	Text	
Ginkgoites_pseudoadiantoides	Yukon river, north bank, about 12 miles below Melozi telegraf station, Alaska, USA	Text	
Ginkgoites_quadrilobus	Turpan Depression, Xinjiang, China	Text	
Ginkgoites_rotundus	Jingmen-Dangyang Basin, western Hubei, China	Text	
Ginkgoites_scarburgensis	Whitby, Scarborough, Scalby, North Yorkshire, England	Text	
Ginkgoites_sectoralis	Carver’s Quarry, Carversville, Pennsylvania, USA	Text	
Ginkgoites_simmondsii	Ipswich Basin, Queensland, Australia	Text	
Ginkgoites_sphenophyllus	Left bank of Urgal river, upper than Satanka river "river mouth", Russia	Text	
Ginkgoites_taeniatus	Strullendorf, Germany	Text	
Ginkgoites_tasiakouensis	Xietanxiang, China	Text	
Ginkgoites_ticoensis	Ticó Amphitheatre, Santa Cruz Province, Argentina	Text	
Ginkgoites_tigrensis	Bajo Tigre, Santa Cruz Province, Argentina	Text	
Ginkgoites_tylensis	River Tyl', Uda Gulf, Russia	Text	
Ginkgoites_veekaysinghii	Rajmahal Basin, India	Text	
Ginkgoites_watsoniae	Petrified Forest National Park, Arizona, USA	Text	
Ginkgoites_wulungensis	Fuxin Basin, Liaoning province, China	Text	
Ginkgoites_xinhuaensis	Hunan, China	Text	
Ginkgoites_yangii	Yaojie, Lanzhou, Gansu, China	Text	
Ginkgoxylon_amurense	Right bank of Dim river, tributary of the Amur river, Russia	Text	
Ginkgoxylon_asiae-mediae	South-west Kyzylkum, Uzbekistan	Text	
Ginkgoxylon_beckii	Vantage, Kittitas County, Washington, USA	Text	
Ginkgoxylon_bihariense	Mikofalva, Hungary	Text	
