"ReferenceID"	"Authors"	"Year"	"Title"	"Details"
"Ginkgo_muriselmata-ref"	"Anderson, J.M., Anderson, H.M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Ginkgo_konigensis-ref"	"Anderson, J.M., Anderson, H.M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Ginkgo_aviamnica-ref"	"Anderson, J.M., Anderson, H.M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Ginkgo_matatiensis-ref"	"Anderson, J.M., Anderson, H.M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Ginkgo_dutoitii-ref"	"Anderson, J.M., Anderson, H.M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Ginkgo_denmarkensis-ref"	"Anderson, J.M., Anderson, H.M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_steinmannii-ref"	"Anderson, J. M., Anderson, H. M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_sectina-ref"	"Anderson, J. M., Anderson, H. M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_insecta-ref"	"Anderson, J. M., Anderson, H. M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_pontifolia-ref"	"Anderson, J. M., Anderson, H. M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_calensis-ref"	"Anderson, J. M., Anderson, H. M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_helvetica-ref"	"Anderson, J. M., Anderson, H. M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_coronata-ref"	"Anderson, J. M., Anderson, H. M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_africana-ref"	"Anderson, J. M., Anderson, H. M."	"1989"	"Palaeoflora of southern Africa Volume 2."	"Balkema, Roterdam, 567 pp."
"Sphenobaiera_eccaensis-ref"	"Anderson, J. M., Anderson, H. M."	"1985"	"Palaeoflora of Southern Africa: Prodromus of South African megafloras, Devonian to Lower Cretaceous."	"Balkema, Roterdam, 423 pp."
"Sphenobaiera_browniana-ref"	"Anderson, J. M., Anderson, H. M."	"1985"	"Palaeoflora of southern Africa. Prodromus of South African megafloras, Devonian to Lower Cretaceous."	"Balkema, Roterdam, 423 pp."
"Sphenobaiera_magnifolia-ref"	"Aksarin [Aksarin], A. V."	"1955"	"Yurskaya flora (Ust'baleyskiy kompleks) [Jurassic flora (Ust'boley conplex)]."	"Atlas rukovodyashchikh form iskopaemykh fauny i flory Zapadnoy Sibiri, vol. II: 158–178. (in Russian)"
"Ginkgoxylon_amurense-ref"	"Afonin, M. A."	"2016"	"Iskopaemaya drevesina Ginkgoxylon amurense sp. nov. (Ginkgoaceae) iz verkhnego mela Priamur'ya, Rossiyskiy Dal'niy Vostok [Fossil Wood Ginkgoxylon amurense sp. nov. (Ginkgoaceae) from Upper Cretaceous of the Amur River Area, Russian Far East]."	"Paleontologicheskiy Zhurnal, 2016(5): 100–108. (in Russian)"
"Sphenobaiera_pseudolongifolia-ref"	"Abramova [Abramova], L. N."	"1970"	"Rannemelovaya flora Zhiganskogo i prilegayushchikh rayonov Lenskogo basseyna [Early Cretaceous flora of Zhigansky district and allied districts of the Lena basin]."	"Uchenye zapiski Nauchno-Issledovatel'skogo instituta geologii Arktiki (Paleontologija i stratigrafija), 29: 36–57. (in Russian)"
"Ginkgoites_donetziana-ref"	"? Prynada [Prinada], V.D."	"1949"	"Pozdnetriasovaya i raneyurskaya flora Ukrainskoy SSR [Lower Triassic and Upper Jurassic flora from Ukrainian SSR]."	"VSEGEI (in Russian)"
"Ginkgoites_koraiensis-ref"	"Ablajev, A. G."	"1974"	"Pozdnemelovaya flora Vostochnoho Sichote-Alinya i ego znachenie dlya stratigrafii [Late Cretaceous flora of eastern Sikhote-Alin and its significance for the stratigraphy]."	"Nauka, Novosibirsk, 180 pp. (in Russian)"
"Ginkgo_issykkulensis-ref"	"Genkina [Genkina], R. Z."	"1966"	"Iskopaemaya flora I stratigrafiya nizhnemezozoyskikh otlozheniy Issyk-Kul'skoy vpadiny (Severnaya Kirgiziya) [The fossil flora and stratigraphy of the Lower Mesozoic deposits of the Issyk-Kul' basin (Northern Kirghizia)]."	"Nauka, Moskva, 133 pp. (in Russian)"
"Sphenobaiera_abschirica-ref"	"Genkina [Genkina], R. Z."	"1966"	"Iskopaemaya flora i stratigrafiya nizhnemezozoyskikh otlozheniy Issyk-Kul'skoy vpadiny (Severnaya Kirgiziya) [The fossil flora and stratigraphy of the Lower Mesozoic deposits of the Issyk-Kul' basin (Northern Kirghizia)]."	"Nauka, Moskva, 133 pp. (in Russian)"
"Sphenobaiera_asiatica-ref"	"Genkina [Genkina], R. Z."	"1966"	"Iskopaemaya flora i stratigrafiya nizhnemezozoyskikh otlozheniy Issyk-Kul'skoy vpadiny (Severnaya Kirgiziya) [The fossil flora and stratigraphy of the Lower Mesozoic deposits of the Issyk-Kul' basin (Northern Kirghizia)]."	"Nauka, Moskva, 133 pp. (in Russian)"
